Percent_VCFs	Num_Sites
100	22745
99	22745
98	22745
97	22745
96	22745
95	22745
94	22745
93	22745
92	22745
91	22745
90	22745
89	22745
88	22745
87	22745
86	22745
85	22745
84	22745
83	22745
82	22745
81	22745
80	22745
79	22745
78	22745
77	22745
76	22745
75	22745
74	22745
73	22745
72	22745
71	22745
70	22745
69	22745
68	22745
67	22745
66	22745
65	22745
64	22745
63	22745
62	22745
61	22745
60	22745
59	22745
58	22745
57	22745
56	22745
55	22745
54	22745
53	22745
52	22745
51	22745
50	22824
49	22824
48	22824
47	22824
46	22824
45	22824
44	22824
43	22824
42	22824
41	22824
40	22824
39	22824
38	22824
37	22824
36	22824
35	22824
34	22824
33	22824
32	22824
31	22824
30	22824
29	22824
28	22824
27	22824
26	22824
25	22824
24	22824
23	22824
22	22824
21	22824
20	22824
19	22824
18	22824
17	22824
16	22824
15	22824
14	22824
13	22824
12	22824
11	22824
10	22824
9	22824
8	22824
7	22824
6	22824
5	22824
4	22824
3	22824
2	22824
1	22824
